# Universal Data Stream pro Robota | Vytvoreno: G-Code Parser v1.0
# TYPE;X;Y;Z;A;B;C;TCP_SPEED;E_RATIO;TEMP;FAN_PCT;LAYER;FEATURE;PROGRESS
T;179.000;-2.000;0.000;0.000;0.000;0.000;40.000;0.000;230;0;0;0;0
T;179.000;-2.000;3.000;0.000;0.000;0.000;12.000;0.000;230;0;0;0;0
T;170.000;-2.000;3.000;0.000;0.000;0.000;16.667;0.000;230;0;0;0;0
T;170.000;-2.000;0.200;0.000;0.000;0.000;12.000;0.000;230;0;0;0;0
P;110.000;-2.000;0.200;0.000;0.000;0.000;15.000;0.133;230;0;0;0;0
P;40.000;-2.000;0.200;0.000;0.000;0.000;11.667;0.029;230;0;0;0;0
R;40.000;-2.000;0.200;0.000;0.000;0.000;40.000;0.000;230;0;1;0;0
T;40.000;-2.000;0.400;0.000;0.000;0.000;150.000;0.000;230;0;1;0;0
T;51.015;67.573;0.400;0.000;0.000;0.000;150.000;0.000;230;0;1;0;0
T;51.015;67.573;0.200;0.000;0.000;0.000;150.000;0.000;230;0;1;0;0
U;51.015;67.573;0.200;0.000;0.000;0.000;25.000;0.000;230;0;1;0;0
T;51.743;66.581;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
T;52.672;65.811;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;87.665;45.606;0.200;0.000;0.000;0.000;20.000;0.030;230;0;1;5;0
T;88.818;45.166;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
T;90.006;45.023;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;91.238;45.180;0.200;0.000;0.000;0.000;20.000;0.001;230;0;1;5;0
T;91.907;45.403;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;92.547;45.725;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;127.275;65.779;0.200;0.000;0.000;0.000;20.000;0.031;230;0;1;5;0
T;128.226;66.548;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
T;128.921;67.461;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;129.415;68.592;0.200;0.000;0.000;0.000;20.000;0.002;230;0;1;5;0
P;129.614;69.825;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;129.617;109.932;0.200;0.000;0.000;0.000;20.000;0.030;230;0;1;5;0
T;129.488;111.125;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;128.985;112.427;0.200;0.000;0.000;0.000;20.000;0.004;230;0;1;5;0
T;128.257;113.419;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
T;127.328;114.189;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;92.335;134.394;0.200;0.000;0.000;0.000;20.000;0.030;230;0;1;5;0
T;91.182;134.834;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
T;89.998;134.977;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;88.762;134.820;0.200;0.000;0.000;0.000;20.000;0.001;230;0;1;5;0
T;88.093;134.597;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;87.453;134.275;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;52.725;114.221;0.200;0.000;0.000;0.000;20.000;0.031;230;0;1;5;0
T;51.774;113.452;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
T;51.079;112.539;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;50.585;111.408;0.200;0.000;0.000;0.000;20.000;0.002;230;0;1;5;0
P;50.386;110.175;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;50.383;70.068;0.200;0.000;0.000;0.000;20.000;0.030;230;0;1;5;0
T;50.512;68.875;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;5;0
P;50.993;67.629;0.200;0.000;0.000;0.000;20.000;0.003;230;0;1;5;0
R;50.993;67.629;0.200;0.000;0.000;0.000;40.000;0.000;230;0;1;5;0
P;51.743;66.581;0.200;0.000;0.000;0.000;120.000;1.421;230;0;1;5;0
P;52.672;65.811;0.200;0.000;0.000;0.000;120.000;0.021;230;0;1;5;0
P;53.005;65.619;0.200;0.000;0.000;0.000;120.000;0.678;230;0;1;5;0
U;53.005;65.619;0.200;0.000;0.000;0.000;40.000;0.000;230;0;1;5;0
T;53.005;65.619;0.400;0.000;0.000;0.000;150.000;0.000;230;0;1;5;0
T;91.036;83.945;0.400;0.000;0.000;0.000;150.000;0.000;230;0;1;5;0
T;91.036;83.945;0.200;0.000;0.000;0.000;150.000;0.000;230;0;1;5;0
U;91.036;83.945;0.200;0.000;0.000;0.000;25.000;0.000;230;0;1;5;0
T;91.338;83.945;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
P;91.467;84.222;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
P;91.720;84.622;0.200;0.000;0.000;0.000;20.000;0.011;230;0;1;1;0
P;92.047;84.991;0.200;0.000;0.000;0.000;20.000;0.001;230;0;1;1;0
T;92.414;85.290;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
T;92.639;85.432;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
T;92.874;85.556;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
P;93.317;85.724;0.200;0.000;0.000;0.000;20.000;0.014;230;0;1;1;0
T;93.781;85.819;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
T;94.065;85.842;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
P;94.576;85.815;0.200;0.000;0.000;0.000;20.000;0.014;230;0;1;1;0
T;94.727;86.075;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
P;124.181;69.077;0.200;0.000;0.000;0.000;20.000;0.031;230;0;1;1;0
T;124.432;68.991;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
T;124.590;68.969;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
T;124.731;68.973;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
P;124.990;69.031;0.200;0.000;0.000;0.000;20.000;0.015;230;0;1;1;0
P;125.255;69.172;0.200;0.000;0.000;0.000;20.000;0.004;230;0;1;1;0
T;125.445;69.356;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
T;125.534;69.484;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
T;125.601;69.626;0.200;0.000;0.000;0.000;20.000;0.000;230;0;1;1;0
P;125.665;69.883;0.200;0.000;0.000;0.000;20.000;0.013;230;0;1;1;0
