# Universal Data Stream | Created by: PrusaSlicer G-code Importer
# TYPE;X;Y;Z;A;B;C;TCP_SPEED;E_RATIO;TEMP;FAN_PCT;LAYER;FEATURE;PROGRESS
T;0.000;0.000;5.000;0.000;0.000;0.000;83.333;0.000000;240;0;0;0;0
T;238.060;219.014;5.000;0.000;0.000;0.000;130.000;0.000000;240;0;1;0;0
T;238.060;219.014;1.000;0.000;0.000;0.000;130.000;0.000000;240;0;1;0;0
P;244.428;213.108;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;0
P;251.725;208.397;1.000;0.000;0.000;0.000;30.000;3.668511;240;0;1;5;0
P;264.511;203.743;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;0
P;273.129;202.661;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;0
P;281.804;203.093;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;5;0
P;293.788;206.304;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;0
P;305.572;213.108;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;0
P;314.345;221.881;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;0
P;321.149;233.665;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;0
P;350.592;350.164;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;0
P;352.526;360.938;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;0
P;352.988;370.732;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;0
P;350.895;387.492;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;5;0
P;347.048;399.382;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;0
P;338.927;414.192;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;0
P;332.816;421.859;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;0
P;326.837;427.716;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;0
P;315.685;436.051;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;0
P;300.405;443.249;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;5;0
P;288.302;446.360;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;5;0
P;271.445;447.422;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;5;1
P;259.047;445.854;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;1
P;242.985;440.629;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;5;1
P;232.037;434.604;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;5;1
P;219.030;423.828;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;5;1
P;211.073;414.192;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;1
P;205.972;405.819;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;1
P;201.961;396.872;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;5;1
P;197.782;380.506;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;1
P;197.016;368.033;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;1
P;197.817;358.261;1.000;0.000;0.000;0.000;30.000;3.668511;240;0;1;5;1
P;199.408;350.164;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;1
P;226.290;241.964;1.000;0.000;0.000;0.000;30.000;3.668513;240;0;1;5;1
P;230.944;229.177;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;1
P;237.802;219.383;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;5;1
T;285.054;267.018;1.000;0.000;0.000;0.000;130.000;0.000000;240;0;1;5;1
P;285.041;267.030;1.000;0.000;0.000;0.000;30.000;3.668339;240;0;1;1;1
P;281.054;269.091;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;1;1
P;277.657;269.929;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;1;1
P;272.667;270.008;1.000;0.000;0.000;0.000;30.000;3.668511;240;0;1;1;1
P;268.518;268.932;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;1;1
P;264.959;267.030;1.000;0.000;0.000;0.000;30.000;3.668510;240;0;1;1;1
P;261.578;263.996;1.000;0.000;0.000;0.000;30.000;3.668511;240;0;1;1;1
P;259.205;260.447;1.000;0.000;0.000;0.000;30.000;3.668510;240;0;1;1;1
P;257.815;256.693;1.000;0.000;0.000;0.000;30.000;3.668512;240;0;1;1;1
P;257.299;252.192;1.000;0.000;0.000;0.000;30.000;3.668510;240;0;1;1;1
P;257.659;249.225;1.000;0.000;0.000;0.000;30.000;3.668509;240;0;1;1;1
P;257.972;247.709;1.000;0.000;0.000;0.000;30.000;3.668507;240;0;1;1;1
P;259.581;243.803;1.000;0.000;0.000;0.000;30.000;3.668514;240;0;1;1;1
P;261.897;240.543;1.000;0.000;0.000;0.000;30.000;3.668510;240;0;1;1;1
P;264.921;237.903;1.000;0.000;0.000;0.000;30.000;3.668510;240;0;1;1;1
P;268.965;235.810;1.000;0.000;0.000;0.000;30.000;3.668515;240;0;1;1;1
P;272.139;235.028;1.000;0.000;0.000;0.000;30.000;3.668511;240;0;1;1;1
