# Universal Data Stream pro Robota | Vytvoreno: NC Parser v1.0
# Zdrojovy soubor: g_kod M_prikazy.nc | Layer height: 2.50 | Deposition width: 6.00
# TYPE;X;Y;Z;A;B;C;TCP_SPEED;E_RATIO;TEMP;FAN_PCT;LAYER;FEATURE;PROGRESS
T;370.089;275.083;17.850;90.000;90.000;89.950;250.000;0.000;0;0;0;0;0
T;370.089;275.083;7.850;90.000;90.000;89.950;250.000;0.000;0;0;0;0;0
T;370.156;275.101;6.850;90.000;90.000;89.950;250.000;0.000;0;0;0;0;0
T;370.420;275.161;5.890;90.000;90.000;89.950;250.000;0.000;0;0;0;0;0
T;370.857;275.268;5.000;90.000;90.000;89.950;250.000;0.000;0;0;0;0;0
T;371.461;275.409;4.220;90.000;90.000;89.950;250.000;0.000;0;0;0;0;0
T;372.200;275.586;3.570;90.000;90.000;89.950;250.000;0.000;0;0;0;0;0
T;373.056;275.795;3.090;90.000;90.000;89.950;250.000;0.000;0;0;0;0;0
T;374.955;276.241;2.700;90.000;90.000;89.950;250.000;0.000;0;0;0;0;0
P;405.256;283.470;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;547.634;321.620;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;551.122;194.429;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;549.895;146.229;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;527.805;125.547;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;385.596;11.930;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;315.863;-44.067;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;277.644;-71.203;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;243.048;-63.950;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;193.308;-50.640;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;77.912;-19.403;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;-1.554;2.610;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;-1.365;69.291;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;0.346;513.179;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;0.345;586.942;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;546.276;733.224;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;550.345;523.656;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;375.831;476.896;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;375.257;469.070;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;375.186;445.457;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;544.803;490.906;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;545.995;397.668;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;543.857;357.816;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;517.099;344.704;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;375.861;306.859;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;375.201;297.189;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
P;374.955;276.241;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;0
T;374.955;276.241;4.200;90.000;90.000;89.950;80.000;0.000;0;0;1;0;0
T;405.256;283.470;4.200;90.000;90.000;89.950;80.000;0.000;0;0;1;0;0
T;413.795;285.758;4.200;90.000;90.000;89.950;80.000;0.000;0;0;1;0;0
T;420.557;287.570;4.200;90.000;90.000;89.950;80.000;0.000;0;0;1;0;0
T;422.440;288.075;4.590;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;423.290;288.303;5.070;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;424.024;288.499;5.720;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;424.623;288.660;6.500;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;425.058;288.776;7.390;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;425.318;288.846;8.350;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;425.386;288.864;9.350;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;425.386;288.864;10.850;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;381.187;138.232;17.850;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;381.187;138.232;7.850;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;381.254;138.250;6.850;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;381.515;138.320;5.890;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;381.950;138.436;5.000;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;382.549;138.597;4.220;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;383.283;138.794;3.570;90.000;90.000;89.950;250.000;0.000;0;0;1;0;0
T;384.133;139.021;3.090;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;386.016;139.526;2.700;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
P;442.832;154.750;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;278.368;21.917;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;263.307;10.355;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;257.923;11.708;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;220.569;21.876;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;80.481;59.718;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;80.292;77.039;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;79.555;532.498;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;161.214;554.379;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;159.887;524.559;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;253.929;490.105;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;157.529;464.275;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;158.219;380.178;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;158.262;255.760;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;158.142;162.822;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;156.696;78.080;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;386.016;139.526;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
T;386.016;139.526;4.200;90.000;90.000;89.950;80.000;0.000;0;0;1;0;1
T;424.653;149.879;4.200;90.000;90.000;89.950;80.000;0.000;0;0;1;0;1
T;431.415;151.690;4.200;90.000;90.000;89.950;80.000;0.000;0;0;1;0;1
T;433.289;152.193;4.590;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;434.139;152.420;5.070;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;434.873;152.617;5.720;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;435.472;152.778;6.500;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;435.916;152.897;7.390;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;436.167;152.964;8.350;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;436.244;152.985;9.350;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;436.244;152.985;10.850;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;348.898;272.065;17.850;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;348.898;272.065;7.850;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;348.897;271.992;6.850;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;348.896;271.723;5.890;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;348.892;271.277;5.000;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;348.883;270.653;4.220;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;348.869;269.894;3.570;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;348.867;269.013;3.090;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
T;348.839;267.070;2.700;90.000;90.000;89.950;250.000;0.000;0;0;1;0;1
P;348.580;244.235;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;348.570;243.228;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;349.541;243.467;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;411.676;258.274;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
P;521.579;287.722;2.700;90.000;90.000;89.950;35.000;18.002;0;0;1;0;1
