# Universal Data Stream | Created by: PrusaSlicer G-code Importer
# TYPE;X;Y;Z;A;B;C;TCP_SPEED;E_RATIO;TEMP;FAN_PCT;LAYER;FEATURE;PROGRESS
T;179.000;-2.000;0.000;0.000;0.000;0.000;40.000;0.000000;210;0;0;0;0
T;179.000;-2.000;3.000;0.000;0.000;0.000;12.000;0.000000;210;0;0;0;0
T;170.000;-2.000;3.000;0.000;0.000;0.000;16.667;0.000000;210;0;0;0;0
T;170.000;-2.000;0.200;0.000;0.000;0.000;12.000;0.000000;210;0;0;0;0
P;110.000;-2.000;0.200;0.000;0.000;0.000;15.000;0.133333;210;0;0;0;0
P;40.000;-2.000;0.200;0.000;0.000;0.000;11.667;0.028571;210;0;0;0;0
R;40.000;-2.000;0.200;0.000;0.000;0.000;45.000;0.000000;210;0;1;0;0
T;40.000;-2.000;0.400;0.000;0.000;0.000;12.000;0.000000;210;0;1;0;0
T;24.100;23.174;0.400;0.000;0.000;0.000;150.000;0.000000;210;0;1;0;0
T;24.100;23.174;0.200;0.000;0.000;0.000;12.000;0.000000;210;0;1;0;0
U;24.100;23.174;0.200;0.000;0.000;0.000;25.000;0.000000;210;0;1;0;0
T;26.433;22.105;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;5;0
P;34.024;20.539;0.200;0.000;0.000;0.000;20.000;0.026846;210;0;1;5;0
T;34.590;20.484;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;5;0
P;145.042;25.076;0.200;0.000;0.000;0.000;20.000;0.031193;210;0;1;5;0
T;156.724;142.746;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;5;0
P;34.679;159.514;0.200;0.000;0.000;0.000;20.000;0.001264;210;0;1;5;0
T;34.024;159.461;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;5;0
P;25.840;157.757;0.200;0.000;0.000;0.000;20.000;0.028890;210;0;1;5;0
P;23.316;24.813;0.200;0.000;0.000;0.000;20.000;0.028749;210;0;1;5;0
R;23.316;24.813;0.200;0.000;0.000;0.000;45.000;0.000000;210;0;1;5;0
P;24.100;23.174;0.200;0.000;0.000;0.000;120.000;1.721966;210;0;1;5;0
T;26.433;22.105;0.200;0.000;0.000;0.000;120.000;0.000000;210;0;1;5;0
T;27.533;21.878;0.200;0.000;0.000;0.000;120.000;0.000000;210;0;1;5;0
T;27.533;21.878;0.400;0.000;0.000;0.000;12.000;0.000000;210;0;1;5;0
T;30.495;24.510;0.400;0.000;0.000;0.000;150.000;0.000000;210;0;1;5;0
T;30.495;24.510;0.200;0.000;0.000;0.000;12.000;0.000000;210;0;1;5;0
U;30.495;24.510;0.200;0.000;0.000;0.000;25.000;0.000000;210;0;1;5;0
T;34.531;23.684;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;34.954;23.682;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
P;144.885;28.255;0.200;0.000;0.000;0.000;20.000;0.031234;210;0;1;1;0
T;146.050;28.378;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;147.166;28.642;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;148.239;29.047;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;149.252;29.584;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;150.189;30.245;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;151.033;31.021;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;151.773;31.897;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;152.395;32.860;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
P;152.890;33.895;0.200;0.000;0.000;0.000;20.000;0.000026;210;0;1;1;0
T;153.540;37.254;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
P;153.467;38.398;0.200;0.000;0.000;0.000;20.000;0.000872;210;0;1;1;0
P;153.249;39.524;0.200;0.000;0.000;0.000;20.000;0.000017;210;0;1;1;0
T;152.890;40.613;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
P;152.395;41.648;0.200;0.000;0.000;0.000;20.000;0.000017;210;0;1;1;0
T;151.773;42.611;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
P;151.033;43.487;0.200;0.000;0.000;0.000;20.000;0.000009;210;0;1;1;0
T;150.189;44.263;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;149.252;44.924;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
P;148.239;45.462;0.200;0.000;0.000;0.000;20.000;0.000009;210;0;1;1;0
T;147.166;45.866;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
P;146.050;46.130;0.200;0.000;0.000;0.000;20.000;0.000009;210;0;1;1;0
P;144.885;46.253;0.200;0.000;0.000;0.000;20.000;0.000657;210;0;1;1;0
P;34.631;50.839;0.200;0.000;0.000;0.000;20.000;0.031021;210;0;1;1;0
T;30.500;49.998;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
P;144.826;45.243;0.200;0.000;0.000;0.000;20.000;0.030199;210;0;1;1;0
T;146.064;45.100;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;0
T;147.186;44.795;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;1
T;148.252;44.331;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;1
P;149.240;43.716;0.200;0.000;0.000;0.000;20.000;0.000034;210;0;1;1;1
T;150.069;43.022;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;1
T;150.282;42.792;0.200;0.000;0.000;0.000;20.000;0.000000;210;0;1;1;1
P;150.898;42.093;0.200;0.000;0.000;0.000;20.000;0.020801;210;0;1;1;1
P;151.492;41.190;0.200;0.000;0.000;0.000;20.000;0.004330;210;0;1;1;1
